title,genre,platform
Shin Megami Tensei: Persona 4,roleplaying consolestyle rpg,PlayStation 2
MLB 09: The Show,sports traditional team baseball sim sim,PlayStation 3
Blast Corps,action general,Nintendo 64
Shovel Knight,platformer 2d action platformer 2d,3DS
MVP Baseball 2004,sports traditional baseball sim,Xbox
Tony Hawk's Pro Skater 4,sports alternative skateboarding,Xbox
Sid Meier's Civilization III,strategy turnbased historic historic 4x,PC
NFL 2K2,sports traditional football sim,Dreamcast
WWF SmackDown! 2: Know Your Role,action fighting wrestling,PlayStation
LIMBO,action platformer platformer 2d 2d,Xbox 360
Mark of the Ninja,adventure text action platformer platformer 2d 2d,Xbox 360
Silent Hunter III,simulation submarine submarine marine combat,PC
Bayonetta,action adventure linear,PC
Assassin's Creed: Brotherhood,action adventure historic historic openworld,PlayStation 3
Okami,action adventure fantasy general fantasy,Wii
Super Meat Boy,action platformer platformer 2d 2d,Xbox 360
Grand Theft Auto: Chinatown Wars,action adventure modern modern openworld,PSP
Dead Space 2,action shooter shooter thirdperson scifi scifi arcade,Xbox 360
Pikmin 2,strategy realtime fantasy,GameCube
Okami HD,fantasy fantasy action adventure general,PlayStation 3
NBA 2K17,sports team basketball sim,XboxOne
Madden NFL 2002,sports traditional football sim,Xbox
Grandia II,roleplaying consolestyle rpg,Dreamcast
Geometry Wars: Retro Evolved 2,action shooter shooter static static shootemup topdown,Xbox 360
Sid Meier's Civilization V,strategy turnbased historic historic 4x,PC
Super Mario 3D Land,action platformer platformer 3d 3d,3DS
Mario Kart 8 DLC Pack 2,driving kart racing arcade automobile,WiiU
Falcon 4.0: Allied Force,simulation flight modern jet modern jet combat,PC
Deus Ex: Human Revolution,action action adventure shooter scifi scifi general firstperson scifi,PC
XCOM: Enemy Unknown,strategy turnbased general scifi scifi general,Xbox 360
Metroid Prime 3: Corruption,action shooter shooter firstperson scifi scifi arcade,Wii
Monster Hunter: World,roleplaying action rpg,PlayStation 4
